INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000852.SH,002019.SZ,2025/9/23,亿帆医药,13.94,-1.761804087385,0.13899999999999998,-0.173652,117.301486752,169.564777849,8.4147408,12.16390085
000852.SH,002020.SZ,2025/9/23,京新药业,19.66,-4.978250362494,0.14200000000000002,-0.50127,142.332174661,169.278328924,7.23968335,8.6102914
000852.SH,002023.SZ,2025/9/23,海特高新,11.92,-2.534750613246,0.093,-0.167157,88.310540012,88.310540012,7.40860235,7.40860235
000852.SH,600987.SH,2025/9/23,航民股份,7.23,0.696378830084,0.046,0.022715,73.8052045179,73.8052045179,10.20818873,10.20818873
000852.SH,600971.SH,2025/9/23,恒源煤电,6.86,0.734214390602,0.051000000000000004,0.026552,82.3203350424,82.3203350424,12.00004884,12.00004884
000852.SH,600633.SH,2025/9/23,浙数文化,14.33,0.561403508772,0.14300000000000002,0.056927,181.7150718376,181.7150718376,12.68074472,12.68074472
000852.SH,600717.SH,2025/9/23,天津港,4.69,-0.212765957447,0.093,-0.014031,135.7286486822,135.7286486822,28.94001038,28.94001038
000852.SH,600718.SH,2025/9/23,东软集团,10.79,-3.141831238779,0.128,-0.285167,128.3150632608,128.3150632608,11.89203552,11.89203552
000852.SH,600771.SH,2025/9/23,广誉远,18.97,-1.146430432517,0.123,-0.099991,92.85646944770001,92.8564694477,4.89491141,4.89491141
000852.SH,600773.SH,2025/9/23,西藏城投,10.38,-2.626641651032,0.076,-0.141554,98.77471658700001,98.774716587,9.51586865,9.51586865
000852.SH,600775.SH,2025/9/23,南京熊猫,11.21,-3.111495246327,0.074,-0.163271,75.3130991009,102.4412991009,6.71838529,9.13838529
000852.SH,600776.SH,2025/9/23,东方通信,13,-2.840059790732,0.073,-0.147014,124.28000832,163.28000832,9.56000064,12.56000064
000852.SH,600780.SH,2025/9/23,通宝能源,5.73,-0.174216027875,0.042,-0.005189,65.6945945679,65.6945945679,11.46502523,11.46502523
000852.SH,600782.SH,2025/9/23,新钢股份,4.02,-1.951219512195,0.096,-0.132826,126.4552163898,127.9381943898,31.45652149,31.82542149
000852.SH,600783.SH,2025/9/23,鲁信创投,12.36,-3.210649960846,0.048,-0.10928,92.0028087384,92.0028087384,7.44359294,7.44359294
000852.SH,600787.SH,2025/9/23,中储股份,6.04,-0.821018062397,0.068,-0.039588,131.0728067528,131.0728067528,21.70079582,21.70079582
000852.SH,000420.SZ,2025/9/23,吉林化纤,4.49,-5.274261603376,0.108,-0.403917,110.3655983207,110.4031886007,24.58031143,24.58868343
000852.SH,600639.SH,2025/9/23,浦东金桥,10.86,1.685393258427,0.045,0.05378,92.3357059458,121.8940401798,8.50236703,11.22412893
000852.SH,600640.SH,2025/9/23,国脉文化,13.6,9.677419354839,0.051000000000000004,0.349975,108.21464784,108.21464784,7.9569594,7.9569594
000852.SH,600641.SH,2025/9/23,万业企业,17.73,-0.949720670391,0.127,-0.085528,165.00068481600002,165.000684816,9.3062992,9.3062992
000852.SH,600643.SH,2025/9/23,爱建集团,5.57,-2.622377622378,0.06,-0.111572,88.58259058120001,88.7396123346,15.90351716,15.93170778
000852.SH,600648.SH,2025/9/23,外高桥,10.98,-0.181818181818,0.05,-0.006446,102.64012031520001,149.3183615364,9.34791624,13.59912218
000852.SH,600728.SH,2025/9/23,佳都科技,7.19,-4.38829787234,0.189,-0.588118,153.3338868659,153.3338868659,21.32599261,21.32599261
000852.SH,600729.SH,2025/9/23,重庆百货,26.55,-1.70307293595,0.08099999999999999,-0.097819,51.104195082,116.9462656935,1.92482844,4.40475577
000852.SH,600789.SH,2025/9/23,鲁抗医药,9.87,-1.693227091633,0.09,-0.10806,88.69869267840001,88.6986926784,8.98669632,8.98669632
000852.SH,600649.SH,2025/9/23,城投控股,4.67,-2.708333333333,0.074,-0.142115,116.9601858656,116.9601858656,25.04500768,25.04500768
000852.SH,600651.SH,2025/9/23,飞乐音响,9.24,1.874310915105,0.099,0.131578,231.649388586,231.649388586,25.07028015,25.07028015
000852.SH,600657.SH,2025/9/23,信达地产,4.02,-3.597122302158,0.043,-0.109681,114.64551951899999,114.645519519,28.51878595,28.51878595
000852.SH,600746.SH,2025/9/23,江苏索普,7.07,-1.256983240223,0.033,-0.029414,82.4420219329,82.5664918988,11.66082347,11.67842884
000852.SH,600750.SH,2025/9/23,江中药业,21.66,-0.367985280589,0.104,-0.027138,135.8715373056,137.5401383652,6.27292416,6.34996022
000852.SH,002034.SZ,2025/9/23,旺能环境,16.82,0.059488399762,0.047,0.001983,72.63386470180001,72.9961318434,4.31830349,4.33984137
000852.SH,600961.SH,2025/9/23,株冶集团,15.38,3.221476510067,0.09,0.205591,115.6287468124,165.0078217214,7.51812398,10.72872703
